NOME,IDADE,PORTE,VACINADO,CASTRADO,Se dá bem com outros animais,Adoção especial?,Energia,Breve descrição,Raça,Fotos
Dumbo,2,2,1,0,2,1,2,"Cadeirante, energético e carinhoso",SRD,ok
Elza,4,2,1,1,3,0,3,"Caramelo linda e super carinhosa, tem muita energia para gastar! Melhor amiga do Max",SRD,ok
Max,3,2,1,1,2,0,3,"Estopa lindo e super carinhoso, tem muita energia para gastar! Melhor amigo da Elza",SRD,ok
Bóris,5,2,1,1,3,1,2,Fofo e carinhoso,SRD,ok
Kali,3,2,1,1,2,0,2,Pretinha carinhosa,SRD,ok
Alfredo,6,2,1,1,1,0,2,Pretinho carinhoso,SRD,ok
Isis,3,3,1,1,1,0,2,"Caramelo queimado, linda e carinhosa",SRD,ok
Toddy,2,2,1,1,3,0,3,"Pretinho lindo cheio de energia, irmão do Nescau",SRD,ok
Nescau,2,2,1,1,3,0,3,"Pretinho lindo cheio de energia, irmão do Toddy",SRD,ok
Zezé,7,2,1,1,2,0,3,"Peludinho lindo e muito carionhoso, em tratamento de sequelas da sarna",SRD,ok
Kira,4,2,1,0,1,0,2,"Peludinha linda e carinhosa, mãe da Kiara",Chow chow,ok
Kiara,2,2,1,0,1,0,2,"Peludinha linda e carinhosa, filha da Kira",Chow chow,ok
Pandora,1 ano,3,1,0,2,0,3,"Pretinha linda e carinhosa, mãe da ninhada Harry Potter",SRD,ok
Mia,1 ano,2,1,0,3,0,2,"Mistura com pit, muito carinhosa, mãe da ninhada Rebelde",SRD,ok
Thor - Sumiço,2,2,1,1,2,0,3,Pretinho lindo cheio de energia,SRD,ok
Berenice,7,2,0,1,1,0,1,Sossegada e carinhosa,SRD,ok
Pantera,2,2,0,0,3,0,3,Muito energética e carinhosa,SRD,ok
Lassie,2,1,0,0,3,0,2,"Loirinha carinhosa, mãe da ninhada Flinstones",SRD,ok
Billy,2,1,0,0,2,0,2,Pai da ninhada Flinstones,SRD,ok
Pretinho,7 meses,2,0,0,3,0,3,"Filhote, encontrado com a Lassie e o Billy",SRD,ok
José Ricardo ,3,2,0,0,3,1,3,"Cego, muito esperto e amoroso",SRD,ok
Canelinha,8,2,1,1,3,1,2,"Cadeirante devido a sequelas da cinomose, muito carinhosa e brincalhona",SRD,ok
